reaction_id,input_key,reaction_role,identifier_type,value
ord-56b1f4bfeebc4b8ab990b9804e798aa7,Base,REAGENT,SMILES,C(=O)([O-])[O-].[Cs+].[Cs+]
ord-56b1f4bfeebc4b8ab990b9804e798aa7,amine,REACTANT,SMILES,CC(C)N1CCNCC1
ord-56b1f4bfeebc4b8ab990b9804e798aa7,aryl halide,REACTANT,SMILES,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)Br
ord-56b1f4bfeebc4b8ab990b9804e798aa7,metal and ligand,CATALYST,SMILES,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8
ord-56b1f4bfeebc4b8ab990b9804e798aa7,metal and ligand,CATALYST,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd]
ord-56b1f4bfeebc4b8ab990b9804e798aa7,metal and ligand,CATALYST,SMILES,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8
ord-56b1f4bfeebc4b8ab990b9804e798aa7,metal and ligand,CATALYST,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd]
ord-1169cbe9fa064a879ac34b2e524a4e69,Base,REAGENT,SMILES,C(=O)([O-])[O-].[Cs+].[Cs+]
ord-1169cbe9fa064a879ac34b2e524a4e69,Solvent,SOLVENT,SMILES,COC1=CC=CC=C1
ord-1169cbe9fa064a879ac34b2e524a4e69,amine,REACTANT,SMILES,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC
ord-1169cbe9fa064a879ac34b2e524a4e69,aryl halide,REACTANT,SMILES,C1=CC=C(C=C1)I
ord-1169cbe9fa064a879ac34b2e524a4e69,metal and ligand,CATALYST,SMILES,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C
ord-1169cbe9fa064a879ac34b2e524a4e69,metal and ligand,CATALYST,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd]
ord-1169cbe9fa064a879ac34b2e524a4e69,metal and ligand,CATALYST,SMILES,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C
ord-1169cbe9fa064a879ac34b2e524a4e69,metal and ligand,CATALYST,SMILES,C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd]
ord-13992005c22d4673aa802b5e140076e8,Base,REAGENT,SMILES,C(=O)([O-])[O-].[Cs+].[Cs+]
ord-13992005c22d4673aa802b5e140076e8,Solvent,SOLVENT,SMILES,COC1=CC=CC=C1
ord-13992005c22d4673aa802b5e140076e8,amine,REACTANT,SMILES,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC
